time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-12-06T17:14:57.842Z,1.5555,121.2091,12.625,5.5,mww,156,28,0.614,1.05,us,us7000nwmn,2024-12-06T19:18:48.520Z,"234 km WNW of Gorontalo, Indonesia",earthquake,5.18,4.174,0.056,31,reviewed,us,us
2024-12-06T13:57:11.217Z,-14.8251,-109.4483,10,4.9,mb,91,150,12.24,0.53,us,us7000nwks,2024-12-06T15:05:37.040Z,"central East Pacific Rise",earthquake,13.88,1.916,0.035,252,reviewed,us,us
2024-12-06T10:28:38.118Z,-19.6151,-174.378,44.021,5.1,mb,57,42,4.236,0.72,us,us7000nwid,2024-12-06T18:47:54.454Z,"16 km NNW of Fangale’ounga, Tonga",earthquake,12.82,6.931,0.057,102,reviewed,us,us
2024-12-06T07:53:18.518Z,-22.1242,-67.2173,180.901,4.8,mb,53,43,1.212,0.99,us,us7000nwhj,2024-12-06T08:10:56.040Z,"133 km NE of San Pedro de Atacama, Chile",earthquake,7.73,6.974,0.08,49,reviewed,us,us
2024-12-06T05:32:34.029Z,-8.4712,147.6482,127.865,4.5,mb,31,143,1.046,0.77,us,us7000nwgq,2024-12-06T09:18:45.040Z,"46 km NNW of Kokoda, Papua New Guinea",earthquake,13.1,5.32,0.088,38,reviewed,us,us
2024-12-06T05:26:00.057Z,31.8224,131.4645,57.803,4.8,mb,53,125,0.918,0.38,us,us7000nwgn,2024-12-06T06:52:44.040Z,"11 km SSE of Miyazaki, Japan",earthquake,6.62,7.258,0.05,123,reviewed,us,us
2024-12-06T03:30:23.193Z,10.8524,-62.3966,96.933,4.7,mb,64,84,3.591,0.86,us,us7000nwfw,2024-12-06T04:42:10.188Z,"32 km NNW of Güiria, Venezuela",earthquake,10.42,8.465,0.046,145,reviewed,us,us
2024-12-05T20:53:05.555Z,34.6086,33.9473,36.447,4.5,mb,93,89,0.617,0.68,us,us7000nwak,2024-12-06T14:22:25.040Z,"41 km SE of Perivólia, Cyprus",earthquake,5.35,7.352,0.069,62,reviewed,us,us
2024-12-05T19:41:07.774Z,-4.153,-104.4441,10,5.1,mb,72,105,13.952,0.82,us,us7000nw8z,2024-12-05T20:05:59.040Z,"central East Pacific Rise",earthquake,12.84,1.91,0.066,74,reviewed,us,us
2024-12-05T18:46:27.619Z,40.4422,-125.0287,10,4.7,ml,20,253,0.694,0.54,us,us7000nwbj,2024-12-06T18:50:08.920Z,"66 km WSW of Ferndale, California",earthquake,4.16,1.995,0.066,30,reviewed,us,us
